h_a,xG,xGA,result,date,team_name,year
h,0.80527,0.849709,w,2020-09-21,Aston Villa,2020
a,2.03222,0.534675,w,2020-09-28,Aston Villa,2020
h,3.07626,1.65705,w,2020-10-04,Aston Villa,2020
a,0.873776,0.671595,w,2020-10-18,Aston Villa,2020
h,1.50125,2.37695,l,2020-10-23,Aston Villa,2020
h,2.44855,1.00333,l,2020-11-01,Aston Villa,2020
a,1.98553,1.39037,w,2020-11-08,Aston Villa,2020
h,1.76514,1.50038,l,2020-11-21,Aston Villa,2020
a,2.39051,0.571633,l,2020-11-30,Aston Villa,2020
a,1.26872,1.1356,w,2020-12-12,Aston Villa,2020
h,1.81142,0.316737,d,2020-12-17,Aston Villa,2020
a,2.61964,0.0388442,w,2020-12-20,Aston Villa,2020
h,4.58214,0.849086,w,2020-12-26,Aston Villa,2020
a,0.730859,1.53701,d,2020-12-28,Aston Villa,2020
a,1.56434,2.46473,l,2021-01-01,Aston Villa,2020
a,0.601768,3.34385,l,2021-01-20,Aston Villa,2020
h,2.6026,0.400364,w,2021-01-23,Aston Villa,2020
a,2.70718,0.717681,l,2021-01-27,Aston Villa,2020
a,0.795508,2.22557,w,2021-01-30,Aston Villa,2020
h,0.741154,1.79064,l,2021-02-03,Aston Villa,2020
h,1.19792,0.679649,w,2021-02-06,Aston Villa,2020
a,0.144036,2.33232,d,2021-02-13,Aston Villa,2020
h,1.7084,1.23852,l,2021-02-21,Aston Villa,2020
a,0.876255,1.00106,w,2021-02-27,Aston Villa,2020
a,1.44176,0.716254,l,2021-03-03,Aston Villa,2020
h,0.956392,2.15087,d,2021-03-06,Aston Villa,2020
a,0.748665,0.873171,d,2021-03-12,Aston Villa,2020
h,0.439681,1.72011,l,2021-03-21,Aston Villa,2020
h,1.52229,1.52172,w,2021-04-04,Aston Villa,2020
a,0.760621,2.14592,l,2021-04-10,Aston Villa,2020
h,0.801733,1.5634,l,2021-04-21,Aston Villa,2020
h,2.65394,1.56764,d,2021-04-25,Aston Villa,2020
a,1.58811,1.223,w,2021-05-01,Aston Villa,2020
h,0.565472,1.88793,l,2021-05-09,Aston Villa,2020
h,0.558976,0.975408,d,2021-05-13,Aston Villa,2020
a,1.2303,1.95285,l,2021-05-16,Aston Villa,2020
a,1.63669,0.89279,w,2021-05-19,Aston Villa,2020
h,0.980413,3.43414,w,2021-05-23,Aston Villa,2020
a,1.26793,0.822944,w,2020-09-13,Everton,2020
h,4.16254,0.315347,w,2020-09-19,Everton,2020
a,2.27189,0.443115,w,2020-09-26,Everton,2020
h,2.34034,1.16568,w,2020-10-03,Everton,2020
h,1.35998,2.49492,d,2020-10-17,Everton,2020
a,0.287054,0.74151,l,2020-10-25,Everton,2020
a,1.21805,2.6311,l,2020-11-01,Everton,2020
h,0.376464,1.59642,l,2020-11-07,Everton,2020
a,2.2508,1.87028,w,2020-11-22,Everton,2020
h,1.29229,3.11324,l,2020-11-28,Everton,2020
a,2.28139,0.730434,d,2020-12-05,Everton,2020
h,1.2216,1.00627,w,2020-12-12,Everton,2020
a,1.51486,0.83883,w,2020-12-16,Everton,2020
h,0.661744,1.25206,w,2020-12-19,Everton,2020
a,0.568803,1.25106,w,2020-12-26,Everton,2020
h,0.371045,1.19713,l,2021-01-01,Everton,2020
a,0.323445,0.852495,w,2021-01-12,Everton,2020
h,0.474981,0.792045,d,2021-01-27,Everton,2020
h,0.966012,2.08832,l,2021-01-30,Everton,2020
a,1.91539,1.14303,w,2021-02-03,Everton,2020
a,1.5571,1.71769,d,2021-02-06,Everton,2020
h,0.314075,2.55085,l,2021-02-14,Everton,2020
h,1.04664,1.23218,l,2021-02-17,Everton,2020
a,2.01468,1.54046,w,2021-02-20,Everton,2020
h,1.42054,0.665743,w,2021-03-01,Everton,2020
a,1.40789,1.02038,w,2021-03-04,Everton,2020
a,0.270757,2.57224,l,2021-03-08,Everton,2020
h,1.69849,0.74852,l,2021-03-13,Everton,2020
h,2.53386,0.603749,d,2021-04-05,Everton,2020
a,0.306287,1.16465,d,2021-04-12,Everton,2020
h,2.26022,1.4815,d,2021-04-16,Everton,2020
a,0.529676,0.735767,w,2021-04-23,Everton,2020
h,1.223,1.58811,l,2021-05-01,Everton,2020
a,1.56222,1.09704,w,2021-05-09,Everton,2020
a,0.975408,0.558976,d,2021-05-13,Everton,2020
h,1.24609,1.391,l,2021-05-16,Everton,2020
h,0.670997,0.265526,w,2021-05-19,Everton,2020
a,1.07258,2.88355,l,2021-05-23,Everton,2020
a,1.26267,1.39569,l,2020-09-12,Southampton,2020
h,2.27708,2.28004,l,2020-09-20,Southampton,2020
a,0.706632,0.347136,w,2020-09-26,Southampton,2020
h,0.949079,0.161283,w,2020-10-04,Southampton,2020
a,1.42348,1.98708,d,2020-10-17,Southampton,2020
h,0.74151,0.287054,w,2020-10-25,Southampton,2020
a,1.00333,2.44855,w,2020-11-01,Southampton,2020
h,0.985828,0.175633,w,2020-11-06,Southampton,2020
a,1.0785,1.57479,d,2020-11-23,Southampton,2020
h,0.498783,2.47547,l,2020-11-29,Southampton,2020
a,1.34801,2.03376,w,2020-12-07,Southampton,2020
h,2.27973,0.219115,w,2020-12-13,Southampton,2020
a,1.11296,0.661135,d,2020-12-16,Southampton,2020
h,0.586972,1.15599,l,2020-12-19,Southampton,2020
a,0.119709,0.781855,d,2020-12-26,Southampton,2020
h,0.670996,1.07246,d,2020-12-29,Southampton,2020
h,0.500436,1.37204,w,2021-01-04,Southampton,2020
a,0.378147,2.12019,l,2021-01-16,Southampton,2020
h,0.99504,2.4339,l,2021-01-26,Southampton,2020
h,2.22557,0.795508,l,2021-01-30,Southampton,2020
a,0.507893,5.0325,l,2021-02-02,Southampton,2020
a,1.43445,0.910553,l,2021-02-06,Southampton,2020
h,0.8536,1.09361,l,2021-02-14,Southampton,2020
h,0.496603,1.44849,d,2021-02-20,Southampton,2020
a,1.47981,1.84753,l,2021-02-23,Southampton,2020
a,0.665743,1.42054,l,2021-03-01,Southampton,2020
a,2.37386,0.908155,w,2021-03-06,Southampton,2020
a,1.60561,3.10503,l,2021-03-10,Southampton,2020
h,1.03495,0.895967,l,2021-03-14,Southampton,2020
h,2.40272,1.50285,w,2021-04-04,Southampton,2020
a,1.5002,2.77089,l,2021-04-12,Southampton,2020
a,1.06134,1.28824,l,2021-04-21,Southampton,2020
h,0.954057,2.51518,d,2021-04-30,Southampton,2020
a,1.2289,2.26367,l,2021-05-08,Southampton,2020
h,1.58872,1.32586,w,2021-05-11,Southampton,2020
h,2.29146,0.875957,w,2021-05-15,Southampton,2020
h,1.3084,1.58132,l,2021-05-18,Southampton,2020
a,1.35179,1.98344,l,2021-05-23,Southampton,2020
a,2.95581,0.352997,w,2020-09-13,Leicester,2020
h,0.987365,1.52404,w,2020-09-20,Leicester,2020
a,2.86721,1.44633,w,2020-09-27,Leicester,2020
h,0.456022,2.03227,l,2020-10-04,Leicester,2020
h,0.671595,0.873776,l,2020-10-18,Leicester,2020
a,0.736172,0.73944,w,2020-10-25,Leicester,2020
a,3.07657,1.74822,w,2020-11-02,Leicester,2020
h,2.0545,0.57936,w,2020-11-08,Leicester,2020
a,1.98397,3.77245,l,2020-11-22,Leicester,2020
h,1.27814,2.03719,l,2020-11-30,Leicester,2020
